"id","sex","gpa","Alcoholuse","alcatt","dadjob","momjob","dadclose","momclose","larceny","vandalism"
1,1,2,4,2,1,2,4,1,2,2
2,2,3,1,1,1,1,3,4,4,4
3,2,2,4,2,1,2,2,2,2,2
4,2,2,4,3,1,1,4,2,2,2
5,2,1,6,4,1,2,2,2,1,1
6,2,2,2,1,1,2,2,3,3,3
7,1,3,4,3,1,2,3,3,2,3
8,1,4,3,2,1,2,3,3,3,3
9,2,3,5,4,1,1,2,3,2,2
10,2,2,5,4,2,2,3,2,2,2
11,2,4,5,4,1,2,3,2,2,2
12,2,2,3,2,1,1,2,4,3,3
13,1,3,5,3,1,1,3,1,2,1
14,2,3,3,1,1,2,1,2,2,2
15,1,1,4,3,1,2,3,3,3,3
16,2,2,3,1,1,1,4,1,2,2
17,1,2,1,1,1,1,4,4,4,4
18,1,3,4,3,1,2,2,3,3,2
19,1,3,4,3,1,1,3,3,2,2
20,1,2,3,2,2,1,2,3,3,3
21,1,2,3,3,1,2,4,3,3,3
22,1,4,5,3,1,2,2,2,2,2
23,1,2,4,3,1,2,1,3,2,2
24,1,2,3,1,1,1,1,2,2,2
25,1,4,4,4,1,2,4,3,3,3
26,2,3,4,2,1,2,2,1,2,2
27,2,4,3,3,1,2,4,3,3,3
28,2,3,3,3,2,2,4,3,3,3
29,2,3,4,3,1,2,3,3,3,3
30,1,3,1,1,1,1,4,4,4,4
31,2,1,3,3,1,2,2,4,3,4
32,1,2,3,2,1,2,4,3,3,3
33,1,3,3,2,1,2,4,1,2,2
34,2,3,4,4,1,2,3,3,2,2
35,1,2,3,1,1,2,1,1,2,2
36,2,2,3,3,1,1,4,3,3,3
37,1,2,5,3,1,2,1,3,2,2
38,1,3,5,4,1,2,3,1,1,1
39,2,2,5,3,1,1,1,1,1,1
40,2,2,5,4,2,2,3,2,2,2
41,2,4,4,3,1,2,3,3,2,3
42,2,3,2,1,1,2,2,3,3,3
43,1,2,3,3,1,2,3,4,3,4
44,2,2,3,2,1,1,3,3,3,3
45,1,2,5,4,1,2,3,2,2,2
46,2,2,5,4,1,1,2,3,2,2
47,2,4,4,3,1,2,3,3,2,2
48,2,2,2,1,1,2,4,2,3,3
49,1,3,6,4,1,1,1,2,2,1
50,2,3,4,3,1,2,3,2,2,2
51,1,1,4,2,1,2,2,2,2,2
52,1,2,4,3,1,1,3,2,2,2
53,2,3,4,3,2,1,1,4,2,3
54,2,1,3,1,1,2,2,2,2,2
55,1,2,4,3,1,2,1,3,2,3
56,2,2,5,4,1,2,3,3,2,2
57,2,4,5,3,1,2,2,2,2,2
58,2,2,4,3,2,2,2,3,3,3
59,1,1,3,2,1,2,4,2,3,3
60,2,2,5,3,1,2,2,2,2,2
61,2,2,5,4,1,2,2,2,2,2
62,1,3,3,3,1,1,3,4,3,3
63,1,2,6,4,1,2,1,2,1,1
64,1,2,4,3,1,1,2,3,2,2
65,1,3,4,3,1,2,2,3,2,3
66,2,2,2,1,1,2,3,3,3,4
67,1,2,2,2,1,2,4,4,4,4
68,2,2,5,4,1,2,3,3,2,2
69,1,1,4,2,1,1,3,1,2,2
70,2,1,2,1,1,1,4,3,3,4
71,1,3,4,2,1,2,2,2,2,2
72,2,3,5,4,1,2,2,2,2,2
73,1,3,3,2,1,1,1,3,3,3
74,2,2,3,1,2,2,1,3,3,3
75,1,2,4,2,1,2,2,2,2,2
76,2,2,4,2,1,2,2,1,2,2
77,1,3,3,2,1,1,3,2,2,2
78,1,3,3,1,1,2,2,2,2,2
79,1,3,6,4,1,1,2,1,1,1
80,2,4,4,4,2,2,2,4,3,3
81,2,3,3,2,1,2,2,3,3,3
82,2,1,5,4,1,2,4,2,2,2
83,1,1,4,2,1,2,2,2,2,2
84,2,2,4,3,1,1,2,3,2,2
85,1,3,4,3,1,2,3,2,2,2
86,2,4,4,4,1,1,2,4,3,3
87,1,1,5,4,1,1,4,3,2,2
88,1,2,4,3,1,2,1,4,3,3
89,1,3,4,2,1,2,3,1,2,2
90,2,2,4,2,1,2,3,2,2,2
91,1,1,4,4,1,2,3,3,2,3
92,2,2,3,2,1,1,2,3,3,3
93,1,3,3,1,1,2,2,2,2,3
94,1,2,3,3,1,2,3,4,3,3
95,1,3,5,4,1,2,2,3,2,2
96,2,2,5,4,1,2,3,3,2,2
97,1,2,4,3,1,2,1,3,2,2
98,1,3,4,3,1,2,2,3,2,3
99,1,3,3,2,1,1,2,4,3,3
100,2,4,6,4,1,2,1,2,1,1
101,1,2,4,3,1,2,3,2,2,2
102,2,1,4,3,2,2,2,3,2,3
103,1,2,2,2,1,1,3,4,3,4
104,1,3,4,3,1,2,4,1,2,2
105,1,3,4,3,1,2,2,3,2,2
106,1,2,3,2,1,1,3,2,3,3
107,1,4,3,2,1,2,3,2,2,2
108,1,3,3,3,1,2,4,3,3,3
109,2,4,5,4,1,2,2,2,2,2
110,1,2,4,2,1,2,1,2,2,2
111,2,3,3,2,1,1,3,2,3,2
112,1,4,4,3,1,1,3,3,2,2
113,2,2,3,2,1,1,2,4,3,3
114,1,4,5,3,2,1,2,2,2,2
115,1,2,2,2,1,2,3,4,4,4
116,2,3,2,1,1,1,2,3,3,3
117,2,1,4,3,1,2,2,2,2,2
118,1,1,3,3,2,1,4,4,3,3
119,1,2,4,2,1,2,2,1,2,1
120,2,3,4,3,1,2,3,3,3,3
121,2,4,5,3,1,2,3,1,2,1
122,2,1,3,1,1,2,2,1,2,2
123,2,2,3,2,1,2,3,2,2,3
124,2,2,4,2,1,2,1,2,2,2
125,2,2,4,2,1,1,2,2,2,2
126,1,3,2,1,1,1,2,3,3,3
127,1,3,3,2,1,2,2,3,3,3
128,2,3,5,3,1,2,1,2,2,2
129,2,3,4,3,1,2,2,2,2,2
130,1,1,4,3,1,2,3,2,2,2
131,2,3,4,4,1,2,3,4,3,3
132,2,2,4,3,1,2,3,2,2,2
133,1,1,4,3,2,2,3,2,2,2
134,2,3,4,3,1,2,3,2,2,2
135,2,2,4,2,1,2,2,2,2,2
136,2,3,4,4,2,1,3,4,3,3
137,2,3,3,2,1,1,1,4,3,3
138,2,3,4,2,1,2,3,1,2,2
139,2,2,4,3,1,1,4,3,3,2
140,2,3,5,3,1,2,1,2,2,2
141,2,4,5,3,1,2,2,2,2,2
142,2,3,3,2,1,1,3,2,2,2
143,1,3,5,4,1,2,3,2,2,2
144,2,2,6,4,1,1,3,1,1,1
145,1,2,3,2,1,2,3,2,3,2
146,2,2,3,3,2,2,4,4,3,4
147,2,3,5,3,1,1,2,2,2,1
148,2,2,4,2,1,2,1,3,2,2
149,2,2,2,1,2,1,3,3,3,3
150,2,2,5,4,1,1,2,4,2,2
151,2,2,4,2,1,2,3,1,2,2
152,1,3,3,2,1,2,1,3,3,3
153,1,4,4,2,1,2,1,1,2,2
154,2,4,3,2,1,1,1,3,3,2
155,1,4,3,2,1,1,3,3,3,3
156,2,3,4,3,1,2,2,3,2,3
157,2,2,6,4,1,2,1,1,1,1
158,2,3,4,4,1,2,3,4,3,3
159,1,2,5,3,2,1,3,1,2,1
160,2,4,4,3,1,1,2,3,2,2
161,2,1,4,3,1,2,2,2,2,2
162,2,2,3,3,2,2,3,4,3,4
163,2,1,5,3,1,1,2,2,2,2
164,1,2,4,3,1,2,2,3,2,3
165,1,2,4,3,1,2,4,2,2,2
166,2,3,5,4,1,2,2,3,2,2
167,2,2,4,2,1,1,3,1,2,2
168,1,3,5,4,1,1,2,2,1,2
169,2,3,1,1,2,2,3,4,4,4
170,1,1,4,3,1,2,3,1,2,2
171,2,2,4,2,1,1,1,3,2,2
172,2,4,3,2,1,2,3,2,3,3
173,2,3,4,3,1,2,3,2,2,2
174,2,2,3,2,1,2,3,2,3,3
175,1,2,5,4,1,1,3,2,2,2
176,2,3,3,1,1,2,3,1,2,2
177,2,3,4,2,1,2,3,1,2,2
178,2,2,3,2,1,1,3,3,3,3
179,1,1,4,3,2,2,1,4,3,3
180,1,2,5,3,1,2,2,2,2,2
181,2,2,5,3,1,2,2,1,2,1
182,1,3,5,3,2,1,2,2,2,2
183,2,2,4,2,1,2,1,2,2,2
184,1,3,3,2,1,2,2,3,3,3
185,2,1,3,1,1,2,3,2,3,3
186,1,2,5,3,1,2,2,2,2,2
187,2,2,2,1,1,2,1,3,3,3
188,2,2,5,4,1,1,2,2,2,2
189,1,1,3,2,1,1,2,3,3,3
190,2,1,2,1,2,1,2,4,3,4
191,2,3,4,3,1,1,4,2,2,2
192,2,3,4,3,1,2,3,2,2,2
193,1,2,5,4,1,2,2,3,2,2
194,2,2,5,3,1,2,4,1,2,2
195,2,2,4,3,1,1,2,2,2,2
196,2,4,4,3,1,2,3,3,3,2
197,2,3,2,1,1,2,4,3,3,3
198,2,2,3,2,1,2,2,4,3,3
199,2,4,3,1,1,2,2,2,2,2
200,2,1,5,3,1,2,1,2,2,1
201,2,4,1,1,1,2,4,3,3,4
202,2,2,4,3,1,1,3,2,2,2
203,1,3,4,2,1,1,2,2,2,2
204,2,4,3,2,1,2,1,3,2,3
205,2,2,2,2,1,2,3,4,3,4
206,2,3,3,1,1,1,1,3,3,2
207,1,2,3,1,1,2,2,2,2,2
208,2,4,4,2,1,1,2,2,2,2
209,1,3,4,3,1,2,2,3,3,2
210,2,4,4,2,1,1,2,2,2,2
211,2,2,3,3,1,2,3,4,3,4
212,1,3,5,4,1,2,2,3,2,2
213,1,2,4,2,1,2,2,2,2,2
214,2,1,3,2,1,2,3,2,3,3
215,2,1,4,2,1,1,2,2,2,2
216,2,1,5,3,1,2,3,1,2,2
217,2,3,4,3,2,2,2,3,2,3
218,2,4,4,3,1,2,2,3,2,3
219,2,3,3,1,1,1,2,2,2,2
220,2,1,4,3,1,2,2,2,2,2
221,2,2,5,3,1,2,1,2,2,2
222,1,2,5,3,1,2,1,2,2,1
223,1,3,3,3,1,2,4,3,3,3
224,1,3,2,2,1,2,2,4,3,4
225,1,4,3,2,1,2,4,2,3,3
226,2,2,4,3,1,2,3,3,2,3
227,2,3,2,2,1,2,3,4,3,4
228,1,3,4,2,1,2,2,2,2,2
229,2,4,3,2,1,1,2,3,3,3
230,2,3,3,2,1,2,2,4,3,3
231,2,3,4,3,1,2,3,2,2,2
232,2,2,3,2,1,1,3,3,3,3
233,1,3,3,2,1,2,3,3,3,3
234,2,3,1,1,2,2,4,3,3,4
235,2,2,4,3,1,1,3,3,2,2
236,1,3,3,2,1,2,1,4,3,3
237,2,4,5,4,1,2,3,2,2,2
238,1,3,3,2,1,2,3,2,3,3
239,2,2,4,3,1,2,2,3,2,3
240,2,3,4,3,1,1,4,2,2,2
241,2,2,3,2,1,2,3,3,3,3
242,1,2,4,4,1,2,4,3,3,3
243,1,2,3,2,1,2,4,3,3,3
244,2,1,3,2,1,2,3,3,3,3
245,2,4,2,2,1,2,3,4,4,4
246,2,3,4,4,1,1,2,4,2,3
247,2,1,3,2,2,2,4,2,3,3
248,2,3,3,2,1,2,2,4,3,3
249,2,4,3,2,1,1,2,4,3,3
250,2,2,5,4,1,2,1,3,2,2
251,2,2,3,3,1,2,4,4,3,4
252,2,2,4,3,2,2,3,3,3,3
253,1,1,4,3,1,2,1,3,2,2
254,1,2,4,3,1,2,3,3,3,3
255,1,4,3,2,1,2,3,2,3,3
256,2,2,5,4,1,2,1,4,2,2
257,1,2,3,2,1,2,1,3,3,3
258,1,3,5,3,1,2,1,2,2,2
259,2,2,3,2,1,1,3,3,3,3
260,2,3,3,1,1,1,3,1,2,2
261,2,3,5,4,1,2,3,3,2,2
262,1,2,4,2,1,2,1,3,2,2
263,2,3,4,3,1,2,2,4,3,3
264,1,3,3,2,1,1,3,2,3,2
265,1,2,5,4,2,2,4,2,2,2
266,1,4,3,2,1,1,3,3,3,3
267,2,2,2,1,1,2,1,3,3,3
268,1,1,3,2,1,2,3,2,3,3
269,1,2,4,3,1,2,3,3,3,3
270,2,1,2,1,1,1,3,3,3,3
271,1,1,5,4,1,1,3,2,2,2
272,2,3,4,3,1,2,2,3,2,3
273,1,3,4,3,1,2,3,3,2,3
274,2,2,3,2,1,2,3,3,3,3
275,1,2,3,1,1,2,2,2,2,3
276,2,2,5,3,2,2,2,1,2,1
277,2,2,5,3,1,2,2,1,2,1
278,2,3,3,2,2,2,3,2,3,3
279,1,4,4,2,1,1,2,2,2,2
280,1,3,3,3,1,2,3,4,3,3
281,1,1,4,3,1,2,2,3,2,3
282,2,2,4,2,1,1,1,2,2,2
283,2,2,3,2,2,1,1,4,3,3
284,2,4,3,2,1,2,1,4,3,3
285,2,3,5,4,1,2,2,3,2,2
286,1,3,3,2,1,1,1,4,3,3
287,2,4,5,3,2,2,2,2,2,2
288,1,2,5,4,1,2,2,3,2,2
289,2,1,3,2,1,2,3,2,2,3
290,2,3,4,2,1,2,2,2,2,2
291,2,2,4,3,1,2,3,3,3,3
292,2,3,5,3,1,2,3,1,2,2
293,2,2,3,1,1,2,3,2,3,3
294,1,4,5,3,1,2,2,2,2,2
295,2,2,5,3,1,2,2,1,1,1
296,2,2,2,1,1,1,3,2,3,3
297,2,3,2,1,1,1,3,3,3,3
298,1,1,3,3,1,1,4,3,3,3
299,2,1,5,4,1,2,3,3,2,2
300,1,2,5,4,1,2,3,3,2,2
301,1,3,3,2,1,2,3,3,3,3
302,2,2,4,3,2,2,2,3,2,3
303,2,1,4,3,1,1,3,3,3,2
304,2,2,5,3,1,2,4,1,2,2
305,2,1,5,2,1,1,1,1,1,1
306,2,3,3,2,1,2,2,3,3,3
307,1,3,4,3,1,2,2,3,2,3
308,2,3,4,2,1,1,1,2,2,2
309,2,2,5,4,1,1,4,1,2,1
310,2,2,4,3,1,1,3,3,3,2
311,2,2,3,2,1,1,3,2,2,2
312,2,2,3,2,1,1,3,3,3,3
313,2,2,3,1,1,2,2,2,2,3
314,2,2,2,1,1,1,3,4,3,3
315,1,2,4,4,1,2,3,4,3,3
316,1,2,4,3,1,2,3,3,2,3
317,1,3,3,2,2,2,1,3,3,3
318,2,2,5,3,2,2,2,2,2,2
319,1,4,5,3,1,2,1,1,1,1
320,2,1,4,3,2,2,1,4,3,3
321,1,1,5,3,1,2,1,2,2,2
322,2,2,1,1,1,1,4,4,4,4
323,1,2,4,3,1,2,4,1,2,2
324,1,4,2,1,1,2,3,2,3,3
325,1,2,6,4,1,1,2,1,1,1
326,1,2,4,3,1,1,2,3,2,2
327,2,2,3,2,1,2,2,4,3,3
328,1,3,4,3,1,2,4,2,2,2
329,2,2,2,1,1,2,2,3,3,3
330,2,3,4,3,1,2,1,4,2,3
331,2,2,5,3,1,2,4,1,2,2
332,2,3,4,3,1,1,3,2,2,2
333,2,4,5,3,1,2,2,1,2,1
334,1,2,2,2,1,2,4,3,3,4
335,2,3,2,1,1,2,3,3,3,4
336,1,2,3,2,1,2,2,3,3,3
337,1,4,6,4,1,2,1,2,1,1
338,1,1,5,4,1,2,2,3,2,2
339,2,1,4,3,1,2,4,2,2,2
340,2,1,5,4,2,2,2,2,2,2
341,2,3,4,3,1,1,2,3,2,2
342,1,3,3,2,1,2,1,3,3,3
343,2,2,5,4,1,2,2,3,2,2
344,2,4,4,2,1,2,2,2,2,2
345,1,3,6,4,2,1,3,1,1,1
346,1,1,3,3,1,2,4,3,3,3
347,1,4,3,2,1,1,2,3,3,3
348,2,3,5,3,1,2,2,1,2,1
349,2,4,3,2,1,1,4,2,3,2
350,1,3,4,3,2,1,1,4,3,3
351,1,1,3,2,1,1,3,3,3,3
352,2,3,6,4,1,2,3,1,1,1
353,1,3,4,3,1,2,3,3,2,3
354,2,2,4,3,1,2,2,3,2,2
355,2,3,5,3,1,2,2,2,2,2
356,2,3,3,2,1,2,2,3,3,3
357,2,2,4,3,1,2,4,2,2,2
358,2,3,4,3,1,1,3,2,2,2
359,2,1,3,2,1,2,2,3,3,3
360,2,4,4,3,1,2,4,2,2,2
361,1,3,3,2,2,2,2,3,3,3
362,2,4,2,2,1,2,2,4,3,4
363,2,1,4,3,1,1,3,3,2,3
364,1,4,3,3,2,2,4,3,3,3
365,2,3,3,2,1,2,3,2,2,3
366,2,3,4,3,1,2,2,3,2,2
367,2,4,3,2,1,2,2,4,3,3
368,1,2,3,2,1,1,2,4,3,3
369,2,3,3,2,1,2,4,2,3,3
370,2,3,5,3,1,1,3,1,1,1
371,2,3,4,4,1,1,4,3,3,3
372,1,3,2,1,1,2,3,2,3,3
373,2,2,3,3,1,1,3,4,3,3
374,2,1,5,4,1,2,3,2,2,2
375,1,3,6,4,1,1,1,2,1,1
376,1,2,4,2,2,2,2,1,2,2
377,2,4,4,3,1,2,2,3,3,2
378,1,1,4,2,1,1,2,2,2,2
379,2,3,2,2,1,2,4,3,3,4
380,2,1,5,4,2,2,2,2,2,2
381,1,2,2,2,1,2,4,3,3,4
382,1,2,2,1,1,2,3,3,3,3
383,1,2,5,3,1,1,2,1,1,1
384,1,2,4,2,1,2,4,1,2,2
385,1,2,4,3,1,2,4,2,2,2
386,1,3,2,1,1,2,2,3,3,3
387,2,2,4,3,1,2,2,2,2,2
388,1,4,4,3,1,2,2,3,2,3
389,2,3,4,3,1,2,3,3,2,3
390,2,1,4,2,1,1,4,1,2,2
391,2,3,3,2,1,2,4,2,3,3
392,2,3,2,1,1,2,2,3,3,3
393,2,1,4,2,2,1,3,1,2,2
394,2,1,4,2,1,2,2,2,2,2
395,1,1,3,2,1,2,3,3,3,3
396,2,4,3,1,1,2,2,2,2,2
397,2,3,6,4,1,1,2,1,1,1
398,2,2,4,3,1,2,3,3,3,3
399,1,3,4,3,1,1,3,3,3,3
400,1,4,3,2,1,2,4,2,3,3
401,2,3,4,2,1,2,1,2,2,2
402,2,3,3,2,1,1,1,3,3,3
403,2,3,4,3,1,1,3,3,2,2
404,2,2,3,1,1,2,2,1,2,2
405,2,4,3,2,1,2,2,4,3,3
406,1,4,4,3,1,2,4,1,2,2
407,2,3,3,2,1,1,3,3,3,3
408,1,1,4,2,1,2,1,2,2,2
409,2,2,4,2,1,1,1,2,2,2
410,2,2,6,4,1,1,2,2,2,1
411,2,1,2,2,1,2,3,4,3,4
412,2,3,4,3,1,2,2,3,2,2
413,2,2,4,2,1,2,3,1,2,2
414,1,4,4,2,1,2,1,2,2,2
415,2,3,5,3,1,1,2,2,2,1
416,2,3,4,2,1,2,2,2,2,2
417,2,2,4,2,1,2,1,2,2,2
418,2,3,4,3,1,1,3,3,3,2
419,1,4,5,4,1,2,2,2,2,2
420,2,3,4,2,1,2,3,1,2,2
421,2,2,3,2,1,2,4,3,3,3
422,2,4,5,3,1,1,3,1,1,1
423,1,2,3,2,1,2,4,3,3,3
424,1,3,2,1,2,2,2,3,3,3
425,2,2,3,2,1,2,1,3,3,3
426,1,3,5,4,1,2,2,2,2,2
427,1,2,3,1,1,1,1,2,2,2
428,2,3,5,3,1,1,2,2,2,1
429,1,3,5,3,1,2,3,2,2,2
430,1,1,3,1,1,2,2,1,2,2
431,2,2,3,1,1,1,2,2,2,2
432,2,3,5,4,1,1,2,3,2,2
433,2,2,2,1,1,2,4,2,3,3
434,2,3,4,3,2,2,1,3,2,2
435,1,3,4,3,1,2,2,3,2,2
436,2,2,4,3,1,2,2,3,2,2
437,1,1,5,3,1,2,2,1,2,1
438,2,1,3,2,1,1,3,3,3,3
439,2,3,4,4,1,2,3,4,3,3
440,2,3,4,3,1,2,3,3,2,3
441,2,3,4,2,1,2,2,2,2,2
442,2,2,2,1,1,2,2,3,3,3
443,2,2,4,2,1,2,2,2,2,2
444,2,3,4,3,1,2,3,2,2,2
445,2,4,5,4,2,2,2,2,2,2
446,2,2,4,3,1,2,3,2,2,2
447,2,3,4,3,1,2,3,3,2,3
448,2,2,4,3,1,2,3,2,2,2
449,2,3,4,2,1,2,2,2,2,2
450,1,3,3,2,1,1,4,2,3,3
451,1,4,3,2,1,1,3,2,2,2
452,2,3,4,3,1,1,3,2,2,2
453,2,3,4,3,1,2,3,3,3,3
454,2,2,2,1,1,2,4,3,3,4
455,2,2,3,1,1,1,2,2,2,2
456,2,3,5,4,1,1,2,3,2,2
457,1,2,2,1,2,2,3,2,3,3
458,2,4,4,3,1,1,2,4,3,3
459,2,4,4,4,1,1,4,4,3,3
460,1,3,3,3,1,2,3,4,3,3
461,1,4,3,2,1,1,2,3,3,3
462,2,4,5,3,1,2,1,2,2,1
463,1,2,5,4,1,2,3,2,2,2
464,2,2,5,3,1,2,3,1,2,1
465,1,1,3,1,1,2,3,2,3,3
466,1,2,4,2,1,2,2,1,2,2
467,2,4,5,3,1,1,1,1,1,1
468,1,3,3,2,1,1,3,2,3,2
469,2,2,6,4,1,2,1,2,2,1
470,2,1,4,2,1,2,1,2,2,2
471,1,4,3,2,1,1,3,2,3,2
472,1,2,4,2,1,2,2,2,2,2
473,1,2,4,3,1,2,3,3,2,3
474,2,3,3,3,1,2,4,3,3,3
475,1,2,4,3,1,2,2,3,3,2
476,2,4,4,3,1,2,3,2,2,2
477,2,4,4,3,1,2,4,1,2,2
478,2,2,4,3,1,1,2,4,3,3
479,2,1,4,3,1,1,4,2,2,2
480,1,2,5,4,1,2,2,2,2,2
481,2,2,6,4,2,1,2,2,2,1
482,2,3,3,1,1,1,2,2,2,2
483,2,1,1,1,2,2,4,3,4,4
484,1,3,5,3,1,2,2,2,2,2
485,1,3,4,3,1,2,3,3,3,3
486,1,1,5,4,1,1,3,3,2,2
487,2,3,2,1,1,2,3,3,3,3
488,2,3,4,3,2,2,2,2,2,2
489,2,3,4,2,1,2,1,1,2,2
490,1,3,3,1,1,2,3,2,2,2
491,2,2,4,3,1,2,1,3,2,2
492,2,3,4,3,1,2,3,3,2,3
493,2,2,2,2,1,2,4,3,3,4
494,1,2,3,3,1,1,4,3,3,3
495,2,2,4,3,1,1,2,2,2,2
496,1,3,4,3,1,2,3,2,2,2
497,2,3,3,2,1,2,3,3,3,3
498,1,2,3,2,1,2,3,2,3,3
499,2,3,4,3,1,1,2,2,2,2
500,2,2,3,3,2,2,4,4,3,4
501,2,3,4,3,1,1,4,2,2,2
502,2,2,3,2,1,2,2,4,3,3
503,2,1,1,1,1,2,4,4,4,4
504,1,2,3,2,1,2,4,3,3,3
505,2,2,3,2,1,2,3,3,3,3
506,2,3,4,2,1,2,2,2,2,2
507,2,3,4,3,1,2,4,2,2,3
508,2,2,4,3,1,2,3,3,3,3
509,1,2,6,4,1,1,3,1,1,1
510,2,2,3,2,1,2,3,3,3,3
511,1,1,2,2,2,2,4,4,4,4
512,2,2,5,3,1,2,2,2,2,2
513,2,2,4,3,1,2,4,2,2,2
514,2,3,3,2,1,1,1,3,3,2
515,1,4,4,2,2,1,1,2,2,2
516,2,1,4,2,1,2,2,2,2,2
517,2,4,3,2,1,2,3,3,3,3
518,1,4,2,1,1,1,3,2,3,3
519,2,3,4,3,1,1,2,4,3,3
520,1,3,4,3,1,2,2,3,2,3
521,2,3,3,2,1,2,3,3,3,3
522,1,1,4,3,1,2,3,2,2,2
523,1,2,6,4,2,1,2,2,1,1
524,2,1,3,2,2,2,3,2,2,3
525,2,4,4,3,1,2,2,3,2,2
